ehepartner1,ehepartner2
aha-3-1,aha-1-1
aha-1-1,aha-3-1
aha-18-1,aha-4-1
aha-8-1,aha-6-1
aha-14-1,aha-7-1
aha-6-1,aha-8-1
aha-22-1,aha-10-1
aha-7-1,aha-14-1
aha-22-1,aha-17-1
aha-4-1,aha-18-1
aha-26-1,aha-19-1
aha-48-1,aha-21-1
aha-10-1,aha-22-1
aha-17-1,aha-22-1
aha-19-1,aha-26-1
aha-35-1,aha-27-1
aha-45-1,aha-29-1
aha-55-1,aha-30-1
aha-51-1,aha-32-1
aha-52-1,aha-34-1
aha-27-1,aha-35-1
aha-20-1,aha-36-1
aha-56-1,aha-40-1
aha-31-1,aha-42-1
aha-29-1,aha-45-1
aha-47-1,aha-46-1
aha-46-1,aha-47-1
aha-21-1,aha-48-1
aha-32-1,aha-51-1
aha-34-1,aha-52-1
aha-30-1,aha-55-1
aha-40-1,aha-56-1
