elternteil,kind
aha-12-1,aha-43-1
aha-12-1,aha-21-1
aha-4-1,aha-2-1
aha-18-1,aha-2-1
aha-1-1,aha-9-1
aha-3-1,aha-9-1
aha-4-1,aha-11-1
aha-18-1,aha-11-1
aha-1-1,aha-14-1
aha-3-1,aha-14-1
aha-20-1,aha-25-1
aha-36-1,aha-25-1
aha-14-1,aha-32-1
aha-7-1,aha-32-1
aha-20-1,aha-46-1
aha-35-1,aha-46-1
aha-21-1,aha-50-1
aha-48-1,aha-50-1
aha-20-1,aha-55-1
aha-36-1,aha-55-1
aha-1-1,aha-15-1
aha-14-1,aha-32-1
aha-12-1,aha-21-1
aha-6-1,aha-22-1
aha-29-1,aha-23-1 
aha-29-1,aha-24-1
aha-6-1,aha-29-1
aha-29-1,aha-49-1
aha-15-1,aha-39-1
aha-12-1,aha-43-1
aha-45-1,aha-49-1
aha-49-1,aha-41-1
aha-15-1,aha-54-1
