Ort	Geo	Datum	Getty	Symbol	Gender
Worms	49.629442,8.356283	1205	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1217	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1218	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1220	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1222	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1239	7005108	Sonne	unbekannt
Worms	49.629442,8.356283	1263	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1263	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1277	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1290	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1292	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1294	7005108	Sonne	unbekannt
Worms	49.629442,8.356283	1296	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1307	7005108	Sonne	unbekannt
Worms	49.629442,8.356283	1310	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1314	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1320	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1322	7005108	Blume	unbekannt
Worms	49.629442,8.356283	1330	7005108	Blume	unbekannt
Worms	49.629442,8.356283	1400	7005108	Lilie	unbekannt
Worms	49.629442,8.356283	1453	7005108	Lilie	unbekannt
Frankfurt am Main	50.1119,8.689675	1546	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1571	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1571	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1571	7005293	Levitenkanne	unbekannt
Frankfurt am Main	50.1119,8.689675	1572	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1574	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1581	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1583	7005293	Priesterhände	unbekannt
Frankfurt am Main	50.1119,8.689675	1585	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1586	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1586	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1587	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1589	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1591	7005293	Priesterhände	Mann
Worms	49.629442,8.356283	1592	7005108	Levitenkanne	unbekannt
Frankfurt am Main	50.1119,8.689675	1596	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1620	7005293	Priesterhände	Mann
Worms	49.629442,8.356283	1620	7005108	Waage	unbekannt
Worms	49.629442,8.356283	1622	7005108	Waage	unbekannt
Frankfurt am Main	50.1119,8.689675	1629	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1632	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1632	7005293	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1632	7012310	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1633	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1637	7005293	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1637	7005293	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1653	7005293	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1653	7012310	Priesterhände	Mann
Frankfurt am Main	50.1119,8.689675	1654	7005293	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1656	7012310	Krone	Mann
Frankfurt am Main	50.1119,8.689675	1658	7005293	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1658	7012310	Krone	Frau
Frankfurt am Main	50.1119,8.689675	1659	7005293	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1659	7012310	Levitenkanne	Mann
Worms	49.629442,8.356283	1665	7005108	Blume	unbekannt
Worms	49.629442,8.356283	1669	7005108	Priesterhände	unbekannt
Frankfurt am Main	50.1119,8.689675	1672	7005293	Magen David	Frau
Bonn-Schwarzrheindorf	50.75727,7.105364	1673	4010239	Priesterhände	unbekannt
Worms	49.629442,8.356283	1677	7005108	Blume	unbekannt
Frankfurt am Main	50.1119,8.689675	1681	7005293	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1683	7012310	Krone	Frau
Worms	49.629442,8.356283	1683	7005108	Priesterhände	unbekannt
Hildesheim	52.151509,9.959132	1684	7005248	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1685	7012310	Krone	Frau
Hamburg-Altona	53.549373,9.950545	1686	7012310	Levitenkanne	Mann
Worms	49.629442,8.356283	1686	7005108	Blume	unbekannt
Frankfurt am Main	50.1119,8.689675	1687	7005293	Vogel	Mann
Hamburg-Altona	53.549373,9.950545	1687	7012310	Levitenkanne	Mann
Hildesheim	52.151509,9.959132	1687	7005248	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1688	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1689	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1689	7012310	Blume	Mann
Hamburg-Altona	53.549373,9.950545	1691	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1692	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1692	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1693	7012310	Krone	Frau
Hamburg-Altona	53.549373,9.950545	1694	7012310	Levitenkanne	beide
Siegburg	50.801352,7.203499	1696	7005104	Priesterhände	unbekannt
Hamburg-Altona	53.549373,9.950545	1697	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1697	7012310	Blume	Frau
Frankfurt am Main	50.1119,8.689675	1699	7005293	Vogel	Mann
Hamburg-Altona	53.549373,9.950545	1699	7012310	Rose	Frau
Hamburg-Altona	53.549373,9.950545	1699	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1700	7012310	Rose	Frau
Hamburg-Altona	53.549373,9.950545	1700	7012310	Blume	Mann
Hamburg-Altona	53.549373,9.950545	1700	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1700	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1700	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1701	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1702	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1702	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1703	7012310	Blume	Mann
Hamburg-Altona	53.549373,9.950545	1703	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1704	7012310	Priesterhände	Mann
Bonn-Schwarzrheindorf	50.75727,7.105364	1705	4010239	Priesterhände	unbekannt
Hamburg-Altona	53.549373,9.950545	1705	7012310	Blume	Mann
Bingen	49.962935,7.89771	1707	7012309	Levitenkanne	Frau
Hamburg-Altona	53.549373,9.950545	1707	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1707	7012310	Blume	Mann
Hamburg-Altona	53.549373,9.950545	1708	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1708	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1709	7012310	Rose	Frau
Hamburg-Altona	53.549373,9.950545	1709	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1709	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1710	7012310	Levitenkanne	Mann
Frankfurt am Main	50.1119,8.689675	1711	7005293	Löwe	Mann
Hamburg-Altona	53.549373,9.950545	1711	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1711	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1712	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1712	7012310	Blume	Mann
Hamburg-Altona	53.549373,9.950545	1712	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1712	7012310	Buch	Mann
Hamburg-Altona	53.549373,9.950545	1712	7012310	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1713	7012310	Blume	Mann
Bingen	49.962935,7.89771	1716	7012309	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1716	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1716	7012310	Krone	Frau
Hamburg-Altona	53.549373,9.950545	1716	7012310	Priesterhände	Mann
Bingen	49.962935,7.89771	1717	7012309	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1717	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1717	7012310	Blume	Frau
Frankfurt am Main	50.1119,8.689675	1718	7005293	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1718	7012310	Blume	Frau
Hamburg-Altona	53.549373,9.950545	1718	7012310	Priesterhände	Mann
Frankfurt am Main	50.124557,8.647792	1719	7005293	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1719	7012310	Priesterhände	Mann
Hamburg-Altona	53.549373,9.950545	1719	7012310	Levitenkanne	Mann
Hamburg-Altona	53.549373,9.950545	1719	7012310	Rose	Frau
Hamburg-Altona	53.549373,9.950545	1719	7012310	Blume	Frau
