Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,Symbol,Gender
Elieser ben Josef  Hakohen; Jehuda,Ahaus,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=aha-13'>aha-13</a>,7.004256,52.077701,1879,,,7005987,Priesterhände,Mann
Josef ben Elieser Hakohen,Ahaus,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=aha-21'>aha-21</a>,7.004256,52.077701,1895,,,7005987,Priesterhände,Mann
Jischai ben Josef Hakohen,Ahaus,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=aha-50'>aha-50</a>,7.004256,52.077701,1929,,,7005987,Priesterhände,Mann
Naftali ben Jizchak KaZ (Hertz Meyer / Hertz Isaac),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-10'>alt-10</a>,7.671876,51.304016,1743,,,7006098,Priesterhände,Mann
Meir ben Naftali ben Jizchak [KaZ] (Meyer Hertz),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-11'>alt-11</a>,7.671876,51.304016,1756,,,7006098,Priesterhände,Mann
[Schlomo] Salman ben Meir KaZ (Salomon Meyer),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-7'>alt-7</a>,7.671876,51.304016,1802,,,7006098,Priesterhände,Mann
Meir ben Naftali (Meyer Herzberg),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-33'>alt-33</a>,7.671876,51.304016,1862,,,7006098,Priesterhände,Mann
Schlomo ben Jizchak Hakohen (Salomon Mayberg),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-20'>alt-20</a>,7.671876,51.304016,1873,,,7006098,Priesterhände,Mann
Meir ben Jizchak Hakohen (Max Herzberg),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-24'>alt-24</a>,7.671876,51.304016,1888,,,7006098,Priesterhände,Mann
Reuwen ben Schlomo KaZ (Selig Mayberg),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-25'>alt-25</a>,7.671876,51.304016,1889,,,7006098,Priesterhände,Mann
Meir ben Schlomo KaZ (Mayer Mayberg),Altena,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=alt-36'>alt-36</a>,7.671876,51.304016,1894,,,7006098,Priesterhände,Mann
Jizchak ben Awraham Hakohen (Isac Kahn),Bad Münstereifel-Arloff,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=arl-4'>arl-4</a>,6.800081,50.59517,1890,,,7012589,Priesterhände,Mann
Awraham ben Jizchak Hakohen (Abraham Kahn),Bad Münstereifel-Arloff,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=arl-10'>arl-10</a>,6.800081,50.59517,1908,,,7012589,Priesterhände,Mann
Jizchak ben Awraham Hakohen (Isidor Kahn),Bad Münstereifel-Arloff,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=arl-9'>arl-9</a>,6.800081,50.59517,1920,,,7012589,Priesterhände,Mann
Zwi [Hakohen] (Hirsch Sänger),Bayreuth,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bay-384'>bay-384</a>,11.594224,49.934064,1793,,,7004326,Priesterhände,Mann
Zwi ben Natan Hakohen (Hirsch Sänger),Bayreuth,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bay-536'>bay-536</a>,11.594224,49.934064,1867,,,7004326,Priesterhände,Mann
Josef Kohen (Joseph Kohn),Bayreuth,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bay-574'>bay-574</a>,11.594224,49.934064,1877,,,7004326,Priesterhände,Mann
Issachar ben Gerschon Hakohen (Bernhard Cahn),Bayreuth,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bay-657'>bay-657</a>,11.594224,49.934064,1888,,,7004326,Priesterhände,Mann
Jehuda ben Schmuel KaZ (Samuel Jacoby),Beelitz,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bee-1'>bee-1</a>,12.97412,52.236477,1843,,,1036422,Priesterhände,Mann
Arje ben Jehuda KaZ (Louis Jacoby),Beelitz,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bee-17'>bee-17</a>,12.97412,52.236477,1844,,,1036422,Priesterhände,Mann
Mosche Koppel ben Kalman Kohen,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-123'>bng-123</a>,7.89771,49.962935,1750,,,7012309,Priesterhände,Mann
Mosche ben David KaZ,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-440'>bng-440</a>,7.89771,49.962935,1758,,,7012309,Priesterhände,Mann
Löb ben Koppel Kohen,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-128'>bng-128</a>,7.89771,49.962935,1763,,,7012309,Priesterhände,Mann
Salman ben Lejser Adler KaZ (Salman Adler  KaZ),Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-505'>bng-505</a>,7.89771,49.962935,1781,,,7012309,Priesterhände,
Salman ben Schmuel KaZ,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-114'>bng-114</a>,7.89771,49.962935,1783,,,7012309,Priesterhände,Mann
Löb ben Leser KaZ,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-155'>bng-155</a>,7.89771,49.962935,1794,,,7012309,Priesterhände,Mann
Awraham ben Schmuel Burg? KaZ,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-113'>bng-113</a>,7.89771,49.962935,1795,,,7012309,Priesterhände,Mann
Koppel ben Mosche Rofe KaZ,Bingen,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=bng-408'>bng-408</a>,7.89771,49.962935,1820,,,7012309,Priesterhände,Mann
